,Year,Coach1,Balance1,Coach2,Balance2,Coach3,Balance3,Coach4,Balance4,Coach1Wins,Coach1Lose,Coach2Wins,Coach2Lose,Coach3Wins,Coach3Lose,Coach4Wins,Coach4Lose,Total1,Total2,Total3,Total4,Precentage1,Precentage2,Precentage3,Precentage4
7,2013,Mike Dunlap,21-61,nan,nan,nan,nan,nan,nan,21.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,25,,,
8,2012,Paul Silas,7-59,nan,nan,nan,nan,nan,nan,7.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0,0,0,10,,,
10,2011,Larry Brown,9-19,Paul Silas,25-29,nan,nan,nan,nan,9.0,19.0,25.0,29.0,0.0,0.0,0.0,0.0,28,54,0,0,32,46,,
11,2010,Larry Brown,44-38,nan,nan,nan,nan,nan,nan,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,53,,,
12,2009,Larry Brown,35-47,nan,nan,nan,nan,nan,nan,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,42,,,
13,2008,Sam Vincent,32-50,nan,nan,nan,nan,nan,nan,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,39,,,
14,2007,Bernie Bickerstaff,33-49,nan,nan,nan,nan,nan,nan,33.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,40,,,
15,2006,Bernie Bickerstaff,26-56,nan,nan,nan,nan,nan,nan,26.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,31,,,
16,2005,Bernie Bickerstaff,18-64,nan,nan,nan,nan,nan,nan,18.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,21,,,
17,2002,Paul Silas,44-38,nan,nan,nan,nan,nan,nan,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,53,,,
18,2001,Paul Silas,46-36,nan,nan,nan,nan,nan,nan,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,56,,,
